model,status,mae,rmse,mape,accuracy_from_mape,r2,sample_count,detail
linear_regression,ok,1.5927146221524078,2.442051208198632,5.781622913728022,94.21837708627197,0.8780872820611877,88400,
historical_average,ok,1.638562189630154,2.6871528044575306,5.956119693662367,94.04388030633763,0.8523871358868585,88400,
naive_persistence,ok,1.5020475127470438,2.868361903703151,5.602933799210226,94.39706620078978,0.8318072110747301,88400,
lstm-real-20260518-032721,ok,3.119325978130237,4.741212343091945,10.748332526333208,89.2516674736668,0.5404653189167612,88400,trained LSTM checkpoint
