horizon_minutes,model_lstm,mae_lstm,rmse_lstm,mape_lstm,accuracy_from_mape_lstm,r2_lstm,sample_count_lstm,model_best_baseline,mae_best_baseline,rmse_best_baseline,mape_best_baseline,accuracy_from_mape_best_baseline,r2_best_baseline,sample_count_best_baseline,rmse_gap,mae_gap
15,lstm,2.8247195415151602,4.482682944162389,9.785783273987153,90.21421672601285,0.5891471905893019,22100,linear_regression,1.4097181021963503,2.1289897969798526,5.14419554377335,94.85580445622665,0.9073261136612318,22100,2.353693147182536,1.41500143931881
30,lstm,3.0459644601571614,4.660932976222094,10.538864579799416,89.46113542020058,0.5557957138530478,22100,linear_regression,1.5477216371511708,2.3528748425006714,5.637245877059104,94.3627541229409,0.886803061446657,22100,2.3080581337214228,1.4982428230059905
45,lstm,3.245274432039908,4.824489931294236,11.226719662209108,88.7732803377909,0.5242346130308713,22100,linear_regression,1.6529816545919318,2.5349741045421155,5.997141390141306,94.00285860985869,0.8686478793698073,22100,2.2895158267521207,1.5922927774479763
60,lstm,3.361345478808718,4.9821614029727375,11.441962589337153,88.55803741066285,0.49269036337725824,22100,historical_average,1.6305333434646203,2.681670675556715,5.9252692696836275,94.07473073031638,0.8530233270725992,22100,2.3004907274160225,1.7308121353440977
